activity_id,molecule_chembl_id,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_organism,standard_type,standard_relation,relation,IC50_nM,standard_units,pchembl_value,data_validity_comment,potential_duplicate,standard_flag,document_chembl_id,src_id,pIC50
440903,CHEMBL553407,CHEMBL666616,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,B,CHEMBL284,Homo sapiens,IC50,=,=,2300.0,nM,5.64,,0,1,CHEMBL1133230,1,5.638272163982407
443618,CHEMBL544717,CHEMBL666616,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,B,CHEMBL284,Homo sapiens,IC50,=,=,4700.0,nM,5.33,,0,1,CHEMBL1133230,1,5.327902142064282
443980,CHEMBL307636,CHEMBL664030,In vitro inhibitory activity against Dipeptidyl peptidase IV (DPP-IV) extracted from Caco-2 cells,B,CHEMBL284,Homo sapiens,IC50,=,=,2.0,nM,8.7,,0,1,CHEMBL1135431,1,8.698970004336019
443982,CHEMBL307636,CHEMBL664032,In vitro inhibitory activity against Dipeptidyl peptidase IV (DPP-IV) extracted from human plasma,B,CHEMBL284,Homo sapiens,IC50,=,=,3.2,nM,8.49,,0,1,CHEMBL1135431,1,8.494850021680094
447741,CHEMBL543062,CHEMBL666616,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,B,CHEMBL284,Homo sapiens,IC50,=,=,8400.0,nM,5.08,,0,1,CHEMBL1133230,1,5.075720713938118
450327,CHEMBL544950,CHEMBL666616,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,B,CHEMBL284,Homo sapiens,IC50,=,=,2400.0,nM,5.62,,0,1,CHEMBL1133230,1,5.619788758288394
451597,CHEMBL288207,CHEMBL666616,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,B,CHEMBL284,Homo sapiens,IC50,=,=,52600.0,nM,4.28,,0,1,CHEMBL1133230,1,4.279014255846261
454219,CHEMBL554683,CHEMBL666616,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,B,CHEMBL284,Homo sapiens,IC50,=,=,6700.0,nM,5.17,,0,1,CHEMBL1133230,1,5.173925197299173
460743,CHEMBL41114,CHEMBL666616,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,B,CHEMBL284,Homo sapiens,IC50,=,=,18000.0,nM,4.75,,0,1,CHEMBL1133230,1,4.7447274948966935
462020,CHEMBL544478,CHEMBL666616,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,B,CHEMBL284,Homo sapiens,IC50,=,=,14000.0,nM,4.85,,0,1,CHEMBL1133230,1,4.853871964321762
465901,CHEMBL544241,CHEMBL666616,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,B,CHEMBL284,Homo sapiens,IC50,=,=,17000.0,nM,4.77,,0,1,CHEMBL1133230,1,4.769551078621726
467213,CHEMBL539500,CHEMBL666616,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,B,CHEMBL284,Homo sapiens,IC50,=,=,18000.0,nM,4.75,,0,1,CHEMBL1133230,1,4.7447274948966935
468572,CHEMBL555560,CHEMBL666616,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,B,CHEMBL284,Homo sapiens,IC50,=,=,320.0,nM,6.5,,0,1,CHEMBL1133230,1,6.494850021680094
470429,CHEMBL77539,CHEMBL664030,In vitro inhibitory activity against Dipeptidyl peptidase IV (DPP-IV) extracted from Caco-2 cells,B,CHEMBL284,Homo sapiens,IC50,=,=,8.0,nM,8.1,,0,1,CHEMBL1135431,1,8.096910013008056
470431,CHEMBL77539,CHEMBL664032,In vitro inhibitory activity against Dipeptidyl peptidase IV (DPP-IV) extracted from human plasma,B,CHEMBL284,Homo sapiens,IC50,=,=,8.7,nM,8.06,,0,1,CHEMBL1135431,1,8.060480747381382
471409,CHEMBL539243,CHEMBL666616,In vitro inhibition of Dipeptidylpeptidase IV from Caco-2 (human colon carcinoma) cells.,B,CHEMBL284,Homo sapiens,IC50,=,=,1100.0,nM,5.96,,0,1,CHEMBL1133230,1,5.958607314841775
473918,CHEMBL283880,CHEMBL666618,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,B,CHEMBL284,Homo sapiens,IC50,=,=,87900.0,nM,4.06,,0,1,CHEMBL1131945,1,4.056011124926228
473924,CHEMBL151999,CHEMBL666618,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,B,CHEMBL284,Homo sapiens,IC50,=,=,30400.0,nM,4.52,,0,1,CHEMBL1131945,1,4.517126416391246
478636,CHEMBL313952,CHEMBL666618,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,B,CHEMBL284,Homo sapiens,IC50,=,=,65900.0,nM,4.18,,0,1,CHEMBL1131945,1,4.18111458540599
487079,CHEMBL315471,CHEMBL666618,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,B,CHEMBL284,Homo sapiens,IC50,=,=,60100.0,nM,4.22,,0,1,CHEMBL1131945,1,4.221125527997261
488323,CHEMBL88474,CHEMBL666618,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,B,CHEMBL284,Homo sapiens,IC50,=,=,43600.0,nM,4.36,,0,1,CHEMBL1131945,1,4.360513510731414
503778,CHEMBL88953,CHEMBL666618,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,B,CHEMBL284,Homo sapiens,IC50,=,=,43300.0,nM,4.36,,0,1,CHEMBL1131945,1,4.363512103646634
506072,CHEMBL329471,CHEMBL666618,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,B,CHEMBL284,Homo sapiens,IC50,=,=,57800.0,nM,4.24,,0,1,CHEMBL1131945,1,4.2380721615794705
506078,CHEMBL151461,CHEMBL666618,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,B,CHEMBL284,Homo sapiens,IC50,=,=,88200.0,nM,4.05,,0,1,CHEMBL1131945,1,4.054531414868181
509850,CHEMBL153096,CHEMBL666618,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,B,CHEMBL284,Homo sapiens,IC50,=,=,43300.0,nM,4.36,,0,1,CHEMBL1131945,1,4.363512103646634
509856,CHEMBL424612,CHEMBL666618,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,B,CHEMBL284,Homo sapiens,IC50,=,=,74100.0,nM,4.13,,0,1,CHEMBL1131945,1,4.130181792020672
510948,CHEMBL153037,CHEMBL666618,Inhibitory activity against Dipeptidylpeptidase IV (DPP IV) in human acute lymphoblastic leukemia MOLT-4 cell line,B,CHEMBL284,Homo sapiens,IC50,=,=,36700.0,nM,4.43,,0,1,CHEMBL1131945,1,4.43533393574791
553346,CHEMBL169758,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,660.0,nM,6.18,,0,1,CHEMBL1148427,1,6.180456064458131
553350,CHEMBL168986,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,130.0,nM,6.89,,0,1,CHEMBL1148427,1,6.886056647693163
555724,CHEMBL366751,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,550.0,nM,6.26,,0,1,CHEMBL1148427,1,6.259637310505756
555728,CHEMBL172276,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,670.0,nM,6.17,,0,1,CHEMBL1148427,1,6.173925197299173
555732,CHEMBL171033,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,83.0,nM,7.08,,0,1,CHEMBL1148427,1,7.080921907623926
555736,CHEMBL439836,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,71.0,nM,7.15,,0,1,CHEMBL1148427,1,7.1487416512809245
556901,CHEMBL352343,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,280.0,nM,6.55,,0,1,CHEMBL1148427,1,6.552841968657781
556905,CHEMBL169962,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,110.0,nM,6.96,,0,1,CHEMBL1148427,1,6.958607314841775
559352,CHEMBL352737,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,480.0,nM,6.32,,0,1,CHEMBL1148427,1,6.318758762624412
560504,CHEMBL368156,CHEMBL664928,Inhibitory activity against human recombinant Dipeptidylpeptidase IV,B,CHEMBL284,Homo sapiens,IC50,=,=,840.0,nM,6.08,,0,1,CHEMBL1148427,1,6.075720713938118
