parent_smiles,molecule_chembl_id,pref_name,canonical_smiles_examples,n_records,IC50_nM_median,IC50_nM_min,IC50_nM_max,pIC50_median,pIC50_min,pIC50_max,pIC50_std,pchembl_median,assay_type,assay_chembl_id,document_chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,pIC50_range
COc1ccc2c3c(ccc2c1)O[C@@H](c1cc(F)c(F)cc1F)[C@H](N)C3,CHEMBL3929146,,COc1ccc2c3c(ccc2c1)O[C@@H](c1cc(F)c(F)cc1F)[C@H](N)C3,2,431.58500000000004,49.73,813.44,6.6965280081149405,6.089674475462105,7.303381540767775,0.8582204962516639,6.695,B,CHEMBL3862754,CHEMBL3861975,359.35,4.27,3.0,1.0,44.48,2.0,0.0,1.2137070653056705
COc1ccc2ccc3c(c2c1)C[C@H](N)[C@@H](c1cc(F)c(F)cc1F)O3,CHEMBL3928073,,COc1ccc2ccc3c(c2c1)C[C@H](N)[C@@H](c1cc(F)c(F)cc1F)O3,2,37.78,14.95,60.61,7.521407261664771,7.21745571598999,7.825358807339551,0.4298523981975399,7.525,B,CHEMBL3862754,CHEMBL3861975,359.35,4.27,3.0,1.0,44.48,2.0,0.0,0.6079030913495611
CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(F)=C3CCCC3)n2)c(Cl)c1,CHEMBL1185242;CHEMBL402163,,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(F)=C3CCCC3)n2)c(Cl)c1;CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(F)=C3CCCC3)n2)c(Cl)c1.O=C(O)C(F)(F)F,2,6.105,0.21,12.0,8.799299729609228,7.920818753952375,9.67778070526608,1.24235971006067,8.8,B,CHEMBL3074800;CHEMBL933456,CHEMBL1143883;CHEMBL3046539,453.97,4.8,6.0,1.0,99.08,7.0,0.0,1.7569619513137056
CS(=O)(=O)c1ccc2c(c1)nc1n2C[C@H](N)[C@@H](c2cc(F)c(F)cc2F)C1,CHEMBL1197118;CHEMBL559940,,CS(=O)(=O)c1ccc2c(c1)nc1n2C[C@H](N)[C@@H](c2cc(F)c(F)cc2F)C1;CS(=O)(=O)c1ccc2c(c1)nc1n2C[C@H](N)[C@@H](c2cc(F)c(F)cc2F)C1.O=C(O)C(F)(F)F,3,11.0,4.2,42.0,7.958607314841775,7.376750709602099,8.3767507096021,0.5022285349059609,7.96,B,CHEMBL1054090;CHEMBL1054112;CHEMBL3074800,CHEMBL1153045;CHEMBL3046539,395.41,2.52,5.0,1.0,77.98,2.0,0.0,1.0
CS(=O)(=O)c1ccc2c3c(ccc2c1)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,CHEMBL3932825,,CS(=O)(=O)c1ccc2c3c(ccc2c1)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,2,8.255,5.8,10.71,8.103391267802603,7.970210529168144,8.236572006437063,0.1883460068237193,8.105,B,CHEMBL3862754,CHEMBL3861975,407.41,3.66,4.0,1.0,69.39,2.0,0.0,0.26636147726891934
CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,CHEMBL2105762,OMARIGLIPTIN,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,6,2.41,1.6,4.2,8.619336838789271,8.3767507096021,8.795880017344075,0.14791473022289367,8.620000000000001,B,CHEMBL3243518;CHEMBL3737789;CHEMBL3862754;CHEMBL4616383;CHEMBL5731884;CHEMBL5734602,CHEMBL3232717;CHEMBL3734760;CHEMBL3861975;CHEMBL4613324;CHEMBL5726024;CHEMBL5727415,398.44,1.14,7.0,1.0,90.45,3.0,0.0,0.41912930774197577
C[C@@H](C1CCC(N(C)C(=O)C2CC2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1,CHEMBL392825,,C[C@@H](C1CCC(N(C)C(=O)C2CC2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1.Cl,2,34.0,21.0,47.0,7.502841423665181,7.327902142064282,7.6777807052660805,0.24740150463179772,7.505,B,CHEMBL887122;CHEMBL887126,CHEMBL1139199,353.48,1.95,3.0,1.0,66.64,5.0,0.0,0.34987856320179844
C[C@@H](C1CCC(N(C)C(=O)c2cccc(F)c2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1,CHEMBL245379,,C[C@@H](C1CCC(N(C)C(=O)c2cccc(F)c2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1.Cl,2,57.0,22.0,92.0,7.346894745916119,7.036212172654444,7.657577319177793,0.43937150869963276,7.35,B,CHEMBL887122;CHEMBL887126,CHEMBL1139199,407.51,2.99,3.0,1.0,66.64,5.0,0.0,0.621365146523349
C[C@@H](C1CCC(NS(=O)(=O)c2ccc(F)cc2F)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1,CHEMBL246372,,C[C@@H](C1CCC(NS(=O)(=O)c2ccc(F)cc2F)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1.Cl,2,975.0,460.0,1490.0,6.082027949953076,5.826813731587726,6.337242168318426,0.36092740892272673,6.085,B,CHEMBL887122;CHEMBL887126,CHEMBL1139199,447.52,2.34,4.0,2.0,92.5,6.0,0.0,0.5104284367306997
C[C@@H](C1CCC(NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1,CHEMBL246373,,C[C@@H](C1CCC(NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1.Cl,2,1955.0,440.0,3470.0,5.9081089243614695,5.459670525209127,6.356547323513812,0.6341876659701223,5.91,B,CHEMBL887122;CHEMBL887126,CHEMBL1139199,495.54,2.96,5.0,2.0,101.73,7.0,0.0,0.8968767983046853
