activity_id,molecule_chembl_id,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_organism,standard_type,standard_relation,relation,IC50_nM,standard_units,pchembl_value,data_validity_comment,potential_duplicate,standard_flag,document_chembl_id,src_id,pIC50,pref_name,canonical_smiles,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,has_multiple_fragments_raw,parent_smiles,has_multiple_fragments_parent
275679,CHEMBL9724,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,31000.0,nM,4.51,,0,1,CHEMBL1132608,1,4.508638306165727,,Cl.O=C([C@@H]1CCCN1)N1CCCC1P1(=O)Oc2ccccc2-c2ccccc2O1,398.4,4.02,5.0,1.0,67.87,2.0,0.0,True,O=C([C@@H]1CCCN1)N1CCCC1P1(=O)Oc2ccccc2-c2ccccc2O1,False
277073,CHEMBL9561,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,22000.0,nM,4.66,,0,1,CHEMBL1132608,1,4.657577319177793,,COc1ccc(OP(=O)(Oc2ccc(OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,460.47,4.06,7.0,1.0,86.33,8.0,0.0,True,COc1ccc(OP(=O)(Oc2ccc(OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1,False
277076,CHEMBL9238,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,36.0,nM,7.44,,0,1,CHEMBL1132608,1,7.443697499232712,,COC(=O)CCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,658.65,2.62,11.0,3.0,178.67,14.0,2.0,True,COC(=O)CCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1,False
282949,CHEMBL9512,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,500.0,nM,6.3,,0,1,CHEMBL1132608,1,6.301029995663981,,Cl.NCC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CN)cc2)C2CCCN2C(=O)C2CCCN2)cc1,544.55,1.83,9.0,5.0,178.11,10.0,1.0,True,NCC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CN)cc2)C2CCCN2C(=O)C2CCCN2)cc1,False
282952,CHEMBL269209,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,600.0,nM,6.22,,0,1,CHEMBL1132608,1,6.221848749616356,,C[C@H](N)C(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)[C@@H](C)N)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,572.6,2.61,9.0,5.0,178.11,10.0,1.0,True,C[C@H](N)C(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)[C@@H](C)N)cc2)C2CCCN2C(=O)C2CCCN2)cc1,False
286460,CHEMBL273851,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,5000.0,nM,5.3,,0,1,CHEMBL1132608,1,5.301029995663981,,Cl.O=C([C@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,400.42,4.04,5.0,1.0,67.87,6.0,0.0,True,O=C([C@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,False
290166,CHEMBL9295,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,30.0,nM,7.52,,0,1,CHEMBL1132608,1,7.522878745280337,,CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,570.63,4.32,7.0,3.0,126.07,12.0,1.0,True,CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1,False
291262,CHEMBL269757,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,700.0,nM,6.16,,0,1,CHEMBL1132608,1,6.154901959985743,,Cl.O=C(CNC(=O)c1ccccc1)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CNC(=O)c3ccccc3)cc2)C2CCCN2C(=O)C2CCCN2)cc1,752.77,4.78,9.0,5.0,184.27,14.0,1.0,True,O=C(CNC(=O)c1ccccc1)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CNC(=O)c3ccccc3)cc2)C2CCCN2C(=O)C2CCCN2)cc1,False
292601,CHEMBL9263,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,800.0,nM,6.1,,0,1,CHEMBL1132608,1,6.096910013008056,,CC(=O)Nc1cccc(OP(=O)(Oc2cccc(NC(C)=O)c2)C2CCCN2C(=O)C2CCCN2)c1.Cl,514.52,3.95,7.0,3.0,126.07,8.0,1.0,True,CC(=O)Nc1cccc(OP(=O)(Oc2cccc(NC(C)=O)c2)C2CCCN2C(=O)C2CCCN2)c1,False
296408,CHEMBL9433,CHEMBL666617,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,400.0,nM,6.4,,0,1,CHEMBL1132608,1,6.3979400086720375,,CS(=O)(=O)Nc1ccc(OP(=O)(Oc2ccc(NS(C)(=O)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,586.63,2.78,9.0,3.0,160.21,10.0,1.0,True,CS(=O)(=O)Nc1ccc(OP(=O)(Oc2ccc(NS(C)(=O)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1,False
