parent_smiles,molecule_chembl_id,pIC50_median,activity_class,PCA1,PCA2,tSNE1,tSNE2,Set
CC#CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL1951613,8.1249387366083,High,-3.4520766446792672,-0.3554470941645258,-48.045322,-0.490949,Train
CC#CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1ncc3ccccc3c1C#N)c(=O)n2C,CHEMBL1951416,9.0,High,-3.2395509677978134,-0.3159499647813036,-47.587894,-0.5706189,Train
CC#CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,CHEMBL1951612,8.301029995663981,High,-3.2638057540543888,-0.35637512715916303,-47.535637,-0.6349328,Train
CC#CCn1c(N2CCCNCC2)c(C#N)c2ncn(Cc3nc(C)c4ccccc4n3)c(=O)c21,CHEMBL1951439,8.045757490560675,High,-3.117044850007613,-0.16756710206286266,-47.98386,-0.46973437,Train
CC#CCn1c(N2CCCNCC2)c(C#N)c2ncn(Cc3ncc4ccccc4n3)c(=O)c21,CHEMBL1951440,7.346787486224656,High,-2.917092325133886,-0.09360733778093415,-47.636425,-0.5091741,Train
CC#CCn1c(N2CCCNCC2)c(C#N)c2ncn(Cc3nccc4ccccc34)c(=O)c21,CHEMBL1951438,8.221848749616356,High,-2.9245553137544453,-0.20616114682453085,-47.44601,-0.63028383,Train
CC#CCn1c(N2CCCNCC2)nc2c1c(=O)n(CCCN1CCC(C(=O)OC(C)C)CC1)c(=O)n2C,CHEMBL3927979,5.585026652029182,Low,-2.9594472657560162,-0.14444250796095895,-49.53775,7.488616,Train
CC#CCn1c(N2CCCNCC2)nc2cnn(Cc3nc(C)c4ccccc4n3)c(=O)c21,CHEMBL257999,8.522878745280337,High,-3.074883133218637,-0.6301920501620145,-51.334,1.9879771,Train
CC#CCn1c(N2CCC[C@@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL1951605,7.698970004336019,High,-4.441648727097205,-0.7729918213979494,-50.7845,-3.466286,Train
CC#CCn1c(N2CCC[C@@H](N)C2)c(C#N)c2ncn(CC(=O)c3cccc(OC)c3)c(=O)c21,CHEMBL1951425,7.221848749616356,High,-3.3707656211573274,-0.2597763814456801,-45.083572,-5.9631248,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(C)c1=O,CHEMBL2424672,6.703334809738469,Moderate,-3.0529430851652015,-0.7335190147019015,-58.180447,-32.42013,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(CC#CC)c1=O,CHEMBL2425882,5.662041836320299,Low,-2.904938770118434,-0.6394213107533476,-58.203373,-32.458954,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cc(Br)cc(C(=O)O)c2)c1=O,CHEMBL4860737,8.309803919971486,High,-2.905789838159263,-0.4751614228147482,-57.413307,-34.540077,Train
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cc(Br)cc(C(=O)OC)c2)c1=O,CHEMBL4863369,8.886056647693163,High,-2.883278935995771,-0.31887596906410404,-56.60252,-35.808086,Train
