molecule_chembl_id,pref_name,parent_smiles,pIC50_median,activity_class,MW,LogP,HBA,HBD
CHEMBL352343,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2ccc(Cl)c(Cl)c2)C1,6.552841968657781,Moderate,418.3460000000001,3.570800000000002,5,2
CHEMBL172631,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2cccc(F)c2)C1,6.6777807052660805,Moderate,367.446,2.4031000000000002,5,2
CHEMBL3084945,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](N)CC1,5.568636235841012,Low,243.37599999999995,0.36409999999999976,4,2
CHEMBL3084954,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(Cl)c(Cl)c2)CC1,7.769551078621726,High,431.3890000000001,3.533900000000002,4,3
CHEMBL3084939,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(F)c(F)c2)CC1,7.455931955649724,High,398.4790000000001,2.5053,4,3
CHEMBL3084953,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(I)cc2)CC1,8.0,High,488.3950000000001,2.8317000000000014,4,3
CHEMBL3084955,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,7.259637310505756,High,446.4950000000001,3.125700000000001,5,3
CHEMBL352520,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2cccc3ccccc23)C1,7.366531544420413,High,398.5320000000001,2.9902000000000006,4,3
CHEMBL3084950,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccc(Cl)c(Cl)c2)CC1,7.537602002101044,High,446.4000000000002,3.638600000000003,5,2
CHEMBL3084951,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccc3ccccc3c2)CC1,7.698970004336019,High,427.5700000000002,3.485000000000002,5,2
CHEMBL3084952,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2cccc3ccccc23)CC1,7.769551078621726,High,427.5700000000002,3.485000000000002,5,2
CHEMBL23176,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,7.602059991327962,High,377.51000000000016,2.3318000000000003,5,2
CHEMBL3084946,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(Cl)c(Cl)c2)CC1,7.42021640338319,High,416.37400000000014,3.1422000000000017,4,2
CHEMBL22359,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,7.275724130399211,High,383.4640000000001,2.1136,4,2
CHEMBL3084947,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(I)cc2)CC1,7.481486060122112,High,473.3800000000001,2.4400000000000004,4,2
CHEMBL1682974,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(OC(F)(F)F)cc2)CC1,7.481486060122112,High,431.48000000000013,2.7340000000000018,5,2
CHEMBL3084948,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc3ccccc3c2)CC1,7.67778070526608,High,397.54400000000015,2.9886000000000017,4,2
CHEMBL353840,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)C1,7.327902142064282,High,383.5170000000001,2.5985000000000005,4,2
CHEMBL3084949,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,7.823908740944319,High,397.54400000000015,2.9886000000000017,4,2
CHEMBL283368,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccccc2C(F)(F)F)CC1,7.173925197299173,High,415.4810000000001,2.8542000000000014,4,2
CHEMBL3084956,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cnc3ccccc3c2)CC1,8.045757490560675,High,398.53200000000015,2.3836000000000004,5,2
CHEMBL3084943,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)c(F)c2F)CC1,7.619788758288394,High,437.5090000000002,1.8011999999999995,5,2
CHEMBL3084935,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(I)cc2)CC1,7.638272163982407,High,509.4350000000002,1.9884999999999995,5,2
CHEMBL25211,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,7.657577319177793,High,467.5350000000002,2.2824999999999998,6,2
CHEMBL3084942,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc3ccccc3c2)CC1,7.744727494896693,High,433.5990000000002,2.5371000000000006,5,2
CHEMBL23981,,N[C@H](C(=O)N1CC[C@@H](F)C1)C1CCCCC1,6.468521082957745,Moderate,228.31099999999992,1.4643999999999993,2,1
CHEMBL277693,,N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,7.055517327849831,High,377.46000000000015,2.3693,4,2
CHEMBL23924,,N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,6.958607314841775,Moderate,383.4140000000001,2.1510999999999996,3,2
CHEMBL23879,,N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NC(=O)c2ccccc2C(F)(F)F)CC1,6.6020599913279625,Moderate,415.4310000000001,2.891700000000002,3,2
CHEMBL283309,,N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,7.236572006437063,High,419.46900000000016,1.6995999999999991,4,2
CHEMBL281561,,N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,7.1249387366083,High,467.4850000000002,2.3199999999999994,5,2
CHEMBL395213,,N[C@H](C(=O)N1CC[C@H](F)C1)C1CCC(NS(=O)(=O)c2ccc(F)cc2F)CC1,7.318758762624412,High,419.46900000000016,1.6995999999999991,4,2
CHEMBL22511,,N[C@H](C(=O)N1CC[C@H](F)C1)C1CCCCC1,6.769551078621726,Moderate,228.31099999999992,1.4643999999999993,2,1
CHEMBL188043,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@@H](C(=O)N1CCC1)c1ccc(-c2ccc(F)cc2)cc1,7.356547323513812,High,413.468,2.7063000000000006,3,1
CHEMBL191258,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@@H](C(=O)N1CCCC1)c1ccc(-c2ccc(F)cc2)cc1,8.036212172654444,High,427.49500000000006,3.096400000000001,3,1
CHEMBL190788,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@@H](C(=O)NC1CC1)c1ccc(-c2ccc(F)cc2)cc1,7.1487416512809245,High,413.4680000000001,2.752600000000001,3,2
CHEMBL190593,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@@H](C(=O)NCCO)c1ccc(-c2ccc(F)cc2)cc1,7.026872146400302,High,417.4560000000001,1.5824999999999998,4,3
CHEMBL188444,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@@H](C(=O)Nn1cnnn1)c1ccc(-c2ccc(F)cc2)cc1,7.958607314841775,High,441.4420000000001,1.2307999999999997,6,2
CHEMBL191327,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@@H](C(=O)O)c1ccc(-c2ccc(F)cc2)cc1,8.18045606445813,High,374.38700000000006,2.558600000000001,3,2
CHEMBL190031,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@@H](CN1CCCC1)c1ccc(-c2ccc(F)cc2)cc1,5.455931955649724,Low,413.512,3.5698000000000025,3,1
CHEMBL365567,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@@H](CO)c1ccc(-c2ccc(F)cc2)cc1,6.4089353929735005,Moderate,360.404,2.4663000000000004,3,2
CHEMBL359581,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@@H](Cn1cnnn1)c1ccc(-c2ccc(F)cc2)cc1,6.71669877129645,Moderate,412.4440000000001,2.1606999999999994,5,1
CHEMBL23891,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,7.251811972993799,High,377.46000000000015,2.3693,4,2
CHEMBL23660,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,7.267606240177031,High,383.4140000000001,2.1510999999999996,3,2
CHEMBL23880,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NC(=O)c2ccccc2C(F)(F)F)CC1,6.6777807052660805,Moderate,415.4310000000001,2.891700000000002,3,2
CHEMBL22310,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,7.318758762624412,High,419.46900000000016,1.6995999999999991,4,2
CHEMBL281178,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,7.455931955649724,High,467.4850000000002,2.3199999999999994,5,2
