parent_smiles,molecule_chembl_id,pref_name,canonical_smiles_examples,n_records,IC50_nM_median,IC50_nM_min,IC50_nM_max,pIC50_median,pIC50_min,pIC50_max,pIC50_std,pchembl_median,assay_type,assay_chembl_id,document_chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,pIC50_range,activity_class
C=COC(=O)[C@@H]1CCCN1C(=O)CN,CHEMBL5219299,,C=COC(=O)[C@@H]1CCCN1C(=O)CN,1,0.28,0.28,0.28,9.55284196865778,9.55284196865778,9.55284196865778,0.0,9.55,B,CHEMBL5217459,CHEMBL5214975,198.22,-0.38,4.0,1.0,72.63,3.0,0.0,0.0,High
C=COC(=O)[C@@H]1CCCN1C(=O)CNC(=O)OC(C)(C)C,CHEMBL5220053,,C=COC(=O)[C@@H]1CCCN1C(=O)CNC(=O)OC(C)(C)C,1,24.7,24.7,24.7,7.607303046740334,7.607303046740334,7.607303046740334,0.0,7.61,B,CHEMBL5217459,CHEMBL5214975,298.34,1.19,5.0,1.0,84.94,4.0,0.0,0.0,High
C=COC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN,CHEMBL5220657,,C=COC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN,1,0.13,0.13,0.13,9.886056647693163,9.886056647693163,9.886056647693163,0.0,9.89,B,CHEMBL5217459,CHEMBL5214975,269.34,0.12,5.0,2.0,98.65,7.0,0.0,0.0,High
C=COC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,CHEMBL5220594,,C=COC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,1,0.16,0.16,0.16,9.795880017344075,9.795880017344075,9.795880017344075,0.0,9.8,B,CHEMBL5217459,CHEMBL5214975,469.58,3.25,7.0,2.0,123.27,9.0,0.0,0.0,High
C=COCC(=O)N1CCN(C(=O)C[C@H](N)Cc2ccccc2F)CC1,CHEMBL230095,,C=COCC(=O)N1CCN(C(=O)C[C@H](N)Cc2ccccc2F)CC1,1,2209.0,2209.0,2209.0,5.655804284128565,5.655804284128565,5.655804284128565,0.0,5.66,B,CHEMBL887585,CHEMBL1144633,349.41,0.92,4.0,1.0,75.87,7.0,0.0,0.0,Low
C=Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,CHEMBL1650426,,C=Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,1,8.0,8.0,8.0,8.096910013008056,8.096910013008056,8.096910013008056,0.0,8.1,B,CHEMBL1664314,CHEMBL1649419,335.41,1.73,6.0,1.0,87.94,4.0,0.0,0.0,High
CC#CC#Cc1ccc(C#CC(O)CO)s1,CHEMBL3343899,,CC#CC#Cc1ccc(C#CC(O)CO)s1,1,2740.0,2740.0,2740.0,5.562249437179612,5.562249437179612,5.562249437179612,0.0,5.56,B,CHEMBL3382310,CHEMBL3351808,230.29,0.83,3.0,2.0,40.46,1.0,0.0,0.0,Low
CC#CCN1C(N2CCC[C@@H](N)C2)=NC2C1C(=O)N(Cc1cccnc1C#N)C(=O)N2Cc1cccnc1C#N,CHEMBL5269668,,CC#CCN1C(N2CCC[C@@H](N)C2)=NC2C1C(=O)N(Cc1cccnc1C#N)C(=O)N2Cc1cccnc1C#N,1,0.09,0.09,0.09,10.045757490560675,10.045757490560675,10.045757490560675,0.0,10.05,B,CHEMBL5244616,CHEMBL5244211,536.6,1.0,10.0,1.0,158.84,5.0,1.0,0.0,High
CC#CCN1C(N2CCC[C@@H](NC(=O)OC(C)(C)C)C2)=NC2N=C3N(C)C(=O)CN3C(=O)C21,CHEMBL5270313,,CC#CCN1C(N2CCC[C@@H](NC(=O)OC(C)(C)C)C2)=NC2N=C3N(C)C(=O)CN3C(=O)C21,1,1.7,1.7,1.7,8.769551078621726,8.769551078621726,8.769551078621726,0.0,8.77,B,CHEMBL5244615,CHEMBL5244211,457.54,0.04,8.0,1.0,110.15,2.0,0.0,0.0,High
CC#CCN1C(N2CCC[C@H](N)C2)=NC2C1C(=O)N(C(C)c1nc(C)c3ccccc3n1)C(=O)N2C,CHEMBL4649180,,CC#CCN1C(N2CCC[C@H](N)C2)=NC2C1C(=O)N(C(C)c1nc(C)c3ccccc3n1)C(=O)N2C,1,2.07,2.07,2.07,8.684029654543082,8.684029654543082,8.684029654543082,0.0,8.68,B,CHEMBL4623044,CHEMBL4622831,488.6,1.71,8.0,1.0,111.26,3.0,0.0,0.0,High
